weightScenarioId,rank,candidateId,name,score,baselineRank,bestRank,worstRank,meanRank,top5AppearanceRate,rankStabilityClass,detourSensitivityClass,optimisticImprovementMeters,lowerBoundAdjustedImprovementMeters,conservativeProxyImprovementMeters,twoAxisClassification,isParetoNonDominated
accessPrior_minus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,205.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
accessPrior_minus_20_percent,2,daredemo-accommodation-西鉄イン新宿-131041-35694278-13969433,西鉄イン新宿,106.06,3,2,4,2.8,1,stable_top5,robust,541,341,141,high_improvement_access_uncertain,true
accessPrior_minus_20_percent,3,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,101.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
accessPrior_minus_20_percent,4,daredemo-shopping-ニュウマン新宿-131041-3568856722-1397014075,ニュウマン新宿,78.2,4,3,6,4,0.9333,resilient_top5,marginal,249,34,0,low_priority,false
accessPrior_minus_20_percent,5,daredemo-accommodation-ヒルトン東京-131041-356924779-1396913787,ヒルトン東京,58.78,5,4,6,5.13,0.8,resilient_top5,robust,300,243,186,high_improvement_access_uncertain,true
accessPrior_minus_20_percent,6,daredemo-accommodation-京王プラザホテル-131041-35689954-139694016,京王プラザホテル,58.04,6,5,6,5.73,0.2667,variable,robust,305,227,149,high_improvement_access_uncertain,true
accessPrior_minus_20_percent,7,daredemo-accommodation-ハイアットリージェンシー東京-131041-35691099-139691371,ハイアットリージェンシー東京,-0.18,7,7,7,7,0,consistently_outside_top5,robust,205,163,121,high_improvement_access_uncertain,true
accessPrior_minus_20_percent,8,daredemo-accommodation-京王プレッソイン新宿-131041-35685664-139692621,京王プレッソイン新宿,-50.82,8,8,8,8,0,consistently_outside_top5,sensitive,300,131,0,low_priority,false
accessPrior_plus_20_percent,1,shinjuku-facility-131041000179,新宿観光振興協会,239.36,1,1,1,1,1,stable_top5,sensitive,300,103,0,low_improvement_easy_to_verify,true
accessPrior_plus_20_percent,2,daredemo-shopping-ヨドバシカメラ新宿西口本店-131041-35689815-139697891,ヨドバシカメラ新宿西口本店,119.24,2,2,3,2.33,1,stable_top5,marginal,129,33,0,low_priority,true
